year,tau,rmst_difference
2013,36,2.9991019912175325
2013,60,5.611870648891458
2014,36,4.495848961827292
2014,60,9.81197980283972
2015,36,3.299530364651929
2015,60,8.105244936621418
2016,36,1.2321146664678615
2016,60,4.167623865213763
2017,36,4.342274206430879
2017,60,10.302797768560826
2018,36,3.2789330934090906
2018,60,6.277292593209374
2019,36,4.97894276388541
2019,60,10.408588287563333
2020,36,5.614225949773623
2020,60,8.785489922439456
2021,36,4.842975082718841
2021,60,7.340462320894467
2022,36,6.535905188207838
2022,60,11.419326609002525
