Characteristic,"CT alone (N=1,233)","CIT (N=4,056)","Overall (N=5,289)"
"Age, median (IQR)",68.3 (61.1-75.0),67.0 (60.3-74.2),67.3 (60.5-74.3)
Sex,,,
  Male,670 (54.3),"2,231 (55.0)","2,901 (54.8)"
  Female,563 (45.7),"1,825 (45.0)","2,388 (45.2)"
Race/ethnicity,,,
  NHW,957 (77.6),"3,131 (77.2)","4,088 (77.3)"
  NHB,94 (7.6),270 (6.7),364 (6.9)
  Hispanic,81 (6.6),327 (8.1),408 (7.7)
  NHAPI,37 (3.0),120 (3.0),157 (3.0)
  Other/Unknown,64 (5.2),208 (5.1),272 (5.1)
Insurance status,,,
  Uninsured,29 (2.4),92 (2.3),121 (2.3)
  Insured,"1,204 (97.6)","3,964 (97.7)","5,168 (97.7)"
Ann Arbor stage,,,
  I,154 (12.5),508 (12.5),662 (12.5)
  II,240 (19.5),690 (17.0),930 (17.6)
  III,322 (26.1),938 (23.1),"1,260 (23.8)"
  IV,517 (41.9),"1,920 (47.3)","2,437 (46.1)"
